Kq,MaximumRealPole,ShortPeriodDampingRatio,ShortPeriodNaturalFrequency_rad_s,Stable
-0.238461538461539,-0.00245932137449742,0.660545092130668,2.87670644113446,1
-0.234615384615385,-0.00245894916438613,0.654612451057825,2.87292989140387,1
-0.230769230769231,-0.00245860088019092,0.648665318510841,2.8691483229179,1
-0.226923076923077,-0.0024582769171068,0.642703610089781,2.86536171622442,1
-0.223076923076923,-0.002457977676703,0.636727240656105,2.86157005175467,1
-0.219230769230769,-0.00245770356703653,0.630736124324192,2.85777330982253,1
-0.215384615384615,-0.00245745500276769,0.624730174452758,2.85397147062359,1
-0.211538461538462,-0.00245723240527864,0.61870930363614,2.85016451423434,1
-0.207692307692308,-0.00245703620279352,0.612673423695472,2.84635242061138,1
-0.203846153846154,-0.00245686683050217,0.606622445669724,2.84253516959047,1
-0.2,-0.0024567247306843,0.600556279806625,2.83871274088574,1
-0.196153846153846,-0.00245661035283852,0.594474835553446,2.83488511408882,1
-0.192307692307692,-0.00245652415381236,0.58837802154767,2.83105226866797,1
-0.188461538461539,-0.00245646659793523,0.58226574560751,2.82721418396721,1
-0.184615384615385,-0.00245643815715508,0.576137914722306,2.82337083920544,1
-0.180769230769231,-0.00245643931117619,0.56999443504278,2.81952221347558,1
-0.176923076923077,-0.00245647054760109,0.563835211871152,2.81566828574368,1
-0.173076923076923,-0.00245653236207503,0.557660149651114,2.81180903484804,1
-0.169230769230769,-0.00245662525843268,0.551469151957663,2.80794443949831,1
-0.165384615384615,-0.00245674974884924,0.545262121486785,2.80407447827462,1
-0.161538461538462,-0.00245690635399329,0.539038960044992,2.80019912962664,1
-0.157692307692308,-0.00245709560318377,0.532799568538707,2.79631837187275,1
-0.153846153846154,-0.00245731803454988,0.526543846963495,2.79243218319907,1
-0.15,-0.00245757419519369,0.52027169439314,2.78854054165859,1
-0.146153846153846,-0.00245786464135694,0.513983008968562,2.78464342517025,1
-0.142307692307692,-0.00245818993859179,0.507677687886571,2.78074081151805,1
-0.138461538461539,-0.00245855066193346,0.501355627388461,2.77683267835008,1
-0.134615384615385,-0.00245894739607733,0.49501672274843,2.77291900317767,1
-0.130769230769231,-0.00245938073556085,0.488660868261843,2.76899976337443,1
-0.126923076923077,-0.00245985128494748,0.482287957233306,2.76507493617532,1
-0.123076923076923,-0.00246035965901505,0.47589788196458,2.76114449867579,1
-0.119230769230769,-0.00246090648294951,0.469490533742305,2.75720842783074,1
-0.115384615384615,-0.00246149239254028,0.463065802825552,2.75326670045372,1
-0.111538461538462,-0.00246211803438173,0.456623578433182,2.74931929321591,1
-0.107692307692308,-0.00246278406607847,0.450163748731024,2.74536618264521,1
-0.103846153846154,-0.00246349115645434,0.443686200818861,2.74140734512536,1
-0.1,-0.00246423998576664,0.437190820717217,2.73744275689492,1
-0.0961538461538461,-0.00246503124592446,0.430677493353958,2.73347239404641,1
-0.0923076923076924,-0.00246586564071254,0.424146102550675,2.72949623252534,1
-0.0884615384615386,-0.00246674388601798,0.417596531008884,2.7255142481293,1
-0.0846153846153846,-0.00246766671006489,0.411028660295999,2.72152641650701,1
-0.0807692307692309,-0.00246863485365062,0.404442370831111,2.7175327131574,1
-0.0769230769230769,-0.00246964907039023,0.397837541870534,2.71353311342865,1
-0.0730769230769232,-0.00247071012696449,0.391214051493155,2.70952759251731,1
-0.0692307692307694,-0.00247181880337323,0.384571776585537,2.70551612546736,1
-0.0653846153846154,-0.00247297589319513,0.377910592826818,2.70149868716922,1
-0.0615384615384617,-0.00247418220385288,0.371230374673369,2.69747525235893,1
-0.0576923076923077,-0.00247543855688363,0.364530995343218,2.69344579561716,1
